kind,name,brand,type,width,depth,height,sill,color,stories,floorheight,parapet,material
equipment,"Packaged rooftop unit, 10 ton Precedent YSC120",Trane,packaged-rtu,10.5,7.2,4.2,,#5ad7d2,,,,
equipment,"Packaged rooftop unit, 15 ton Voyager YHC150",Trane,packaged-rtu,12.6,7.3,4.8,,#5ad7d2,,,,
equipment,"Packaged rooftop unit, 25 ton Voyager YHC300",Trane,packaged-rtu,15.6,7.4,5.9,,#5ad7d2,,,,
equipment,"Large packaged rooftop unit, 40 ton IntelliPak SAHF40",Trane,packaged-rtu,25,7.4,7,,#5ad7d2,,,,
equipment,"Large packaged rooftop unit, 75 ton IntelliPak SAHF75",Trane,packaged-rtu,33,8.9,7.5,,#5ad7d2,,,,
equipment,"Large packaged rooftop unit, 130 ton IntelliPak II SXHK130",Trane,packaged-rtu,42,11,8.7,,#5ad7d2,,,,
equipment,"Packaged rooftop unit, 3 ton WeatherMaker 48TC04",Carrier,packaged-rtu,6.2,3.9,2.8,,#5ad7d2,,,,
equipment,"Packaged rooftop unit, 12.5 ton WeatherMaker 48TC14",Carrier,packaged-rtu,11.1,7.3,4.4,,#5ad7d2,,,,
equipment,"High-efficiency packaged RTU, 10 ton WeatherMaster 48HC12",Carrier,packaged-rtu,9.7,7.3,4.2,,#5ad7d2,,,,
equipment,"Large packaged rooftop unit, 30 ton WeatherMaker 48A2030",Carrier,packaged-rtu,20.5,7.4,7.3,,#5ad7d2,,,,
equipment,"Large packaged rooftop unit, 60 ton WeatherMaker 48A2060",Carrier,packaged-rtu,30,7.4,7.8,,#5ad7d2,,,,
equipment,"Packaged rooftop unit, 5 ton Energence LGH060",Lennox,packaged-rtu,7.8,4.9,3.5,,#5ad7d2,,,,
equipment,"Packaged rooftop unit, 20 ton Energence LGH240",Lennox,packaged-rtu,15.4,7.4,5.6,,#5ad7d2,,,,
equipment,"High-efficiency packaged RTU, 6 ton Rebel DPS006",Daikin,packaged-rtu,11.2,5.2,4,,#5ad7d2,,,,
equipment,"High-efficiency packaged RTU, 20 ton Rebel DPS020",Daikin,packaged-rtu,21,7.4,6.2,,#5ad7d2,,,,
equipment,"Large packaged rooftop unit, 50 ton Maverick II MPS050",Daikin,packaged-rtu,27,8.3,7.3,,#5ad7d2,,,,
equipment,"Semi-custom packaged RTU, 30 ton RN-030",AAON,packaged-rtu,19,7.3,7.3,,#5ad7d2,,,,
equipment,"Packaged rooftop unit, 12.5 ton Sunline ZF150",York,packaged-rtu,11.1,7.3,4.3,,#5ad7d2,,,,
equipment,"Residential-class condensing unit, 3 ton 24ACC636",Carrier,split-system-condensing-,2.9,2.9,3,,#5ad7d2,,,,
equipment,"Residential-class condensing unit, 4 ton XR14 4TTR4048",Trane,split-system-condensing-,2.9,2.9,3.7,,#5ad7d2,,,,
equipment,"Commercial condensing unit, 10 ton 38AUZ12",Carrier,split-system-condensing-,7.3,3.7,4.2,,#5ad7d2,,,,
equipment,"Commercial condensing unit, 20 ton TTA240",Trane,split-system-condensing-,7.4,7.3,4.4,,#5ad7d2,,,,
equipment,"Mini-split outdoor unit, 1.5 ton M-Series MUZ-GL18",Mitsubishi Electric,split-system-condensing-,2.8,1.1,2.9,,#5ad7d2,,,,
equipment,"Indoor DX air handler, 5 ton vertical TAM9 / TEM series",Trane,split-system-condensing-,1.9,1.9,4.9,,#5ad7d2,,,,
equipment,"VRF outdoor unit, 8 ton module VRV IV / VRV EMERION",Daikin,vrf,4.1,2.5,5.4,,#5ad7d2,,,,
equipment,"VRF outdoor unit, 16 ton twinned VRV IV twin module",Daikin,vrf,8.2,2.5,5.4,,#5ad7d2,,,,
equipment,"VRF outdoor unit, 10 ton module CITY MULTI PURY (YNU)",Mitsubishi Electric,vrf,4.1,2.4,5.6,,#5ad7d2,,,,
equipment,Water-source VRF unit CITY MULTI PQHY-P72,Mitsubishi Electric,vrf,2.9,1.8,3.6,,#5ad7d2,,,,
equipment,"VRF ceiling cassette, 2x2 FXFQ / VISTA",Daikin,vrf,1.9,1.9,0.85,,#5ad7d2,,,,
equipment,VRF branch controller box CMB-P series BC controller,Mitsubishi Electric,vrf,3.6,1.9,0.95,,#5ad7d2,,,,
equipment,"Air-cooled scroll chiller, 30 ton CGAM 030",Trane,chiller-air-cooled,10.3,7.3,6.6,,#5ad7d2,,,,
equipment,"Air-cooled scroll chiller, 90 ton CGAM 090",Trane,chiller-air-cooled,17.5,7.4,7.7,,#5ad7d2,,,,
equipment,"Air-cooled screw chiller, 200 ton RTAC 200",Trane,chiller-air-cooled,24,7.4,8,,#5ad7d2,,,,
equipment,"Air-cooled screw chiller, 300 ton Sintesis RTAF 300",Trane,chiller-air-cooled,31,7.4,8.2,,#5ad7d2,,,,
equipment,"Air-cooled screw chiller, 150 ton YVAA 150",York,chiller-air-cooled,18.5,7.4,8.2,,#5ad7d2,,,,
equipment,"Air-cooled screw chiller, 450 ton YVAA 450",York,chiller-air-cooled,40,7.4,8.2,,#5ad7d2,,,,
equipment,"Air-cooled screw chiller, 300 ton AquaForce 30XV300",Carrier,chiller-air-cooled,30,7.4,8.3,,#5ad7d2,,,,
equipment,"Air-cooled screw chiller, 500 ton AquaForce 30XA500",Carrier,chiller-air-cooled,44,7.4,8.2,,#5ad7d2,,,,
equipment,"Centrifugal water-cooled chiller, 1000 ton YK",York,chiller-water-cooled,17,9,10,,#5ad7d2,,,,
equipment,"Centrifugal water-cooled chiller, 1500 ton CenTraVac CVHF",Trane,chiller-water-cooled,20,10,11,,#5ad7d2,,,,
equipment,"Water-cooled screw chiller, 200 ton RTWD 200",Trane,chiller-water-cooled,12,5.5,6.5,,#5ad7d2,,,,
equipment,"Induced-draft cooling tower cell, 250 ton NC Class NC8403",SPX Marley,cooling-tower,12.1,8.6,13.6,,#5ad7d2,,,,
equipment,"Induced-draft cooling tower cell, 500 ton NC Class NC8409+",SPX Marley,cooling-tower,18,11.9,16,,#5ad7d2,,,,
equipment,"Induced-draft cooling tower cell, 600 ton Series 3000",BAC,cooling-tower,18,12,19.7,,#5ad7d2,,,,
equipment,"Counterflow cooling tower cell, 200 ton AT Series",Evapco,cooling-tower,12,8.5,13.5,,#5ad7d2,,,,
equipment,"Counterflow cooling tower cell, 500 ton AT Series large cell",Evapco,cooling-tower,21.5,12,18,,#5ad7d2,,,,
equipment,"Forced-draft compact tower, 50 ton VTL Series",BAC,cooling-tower,8.8,4.3,9,,#5ad7d2,,,,
equipment,Closed-circuit fluid cooler cell FXV Series,BAC,cooling-tower,24,12,15,,#5ad7d2,,,,
equipment,"Downflow CRAC, 35 kW Liebert DS035",Vertiv,crac-crah,6.1,2.9,6.4,,#5ad7d2,,,,
equipment,"Downflow CRAC, 105 kW Liebert DS105",Vertiv,crac-crah,8.8,2.9,6.4,,#5ad7d2,,,,
equipment,"Packaged high-efficiency CRAC, 165 kW Liebert DSE165",Vertiv,crac-crah,10.3,3.2,6.5,,#5ad7d2,,,,
equipment,"Compact DX cooling unit, 29 kW Liebert PDX029",Vertiv,crac-crah,2.9,2.9,6.5,,#5ad7d2,,,,
equipment,"Chilled water CRAH, 150 kW Liebert CW146",Vertiv,crac-crah,8.8,2.9,6.4,,#5ad7d2,,,,
equipment,"Precision cooling unit, 100 kW CyberAir 3PRO",Stulz,crac-crah,8.2,2.9,6.5,,#5ad7d2,,,,
equipment,"Precision cooling unit, 30 kW CyberOne DX",Stulz,crac-crah,4.3,2.9,6.4,,#5ad7d2,,,,
equipment,"In-row cooling unit, 300mm Liebert CRV CRD25",Vertiv,in-row-cooling,3.6,1,6.6,,#5ad7d2,,,,
equipment,"In-row cooling unit, 600mm Liebert CRV CRD35",Vertiv,in-row-cooling,3.6,2,6.6,,#5ad7d2,,,,
equipment,"In-row chilled water unit, 300mm InRow RC ACRC301S",APC by Schneider Electric,in-row-cooling,3.9,1,6.5,,#5ad7d2,,,,
equipment,"In-row DX unit, 600mm InRow RD",APC by Schneider Electric,in-row-cooling,3.6,2,6.5,,#5ad7d2,,,,
equipment,"Modular AHU, 3,000 CFM AeroSystem 39M",Carrier,air-handler,8,4.6,4,,#5ad7d2,,,,
equipment,"Modular AHU, 10,000 CFM Performance Climate Changer CSAA",Trane,air-handler,16,7.3,6.3,,#5ad7d2,,,,
equipment,"Modular AHU, 25,000 CFM Vision CAH",Daikin,air-handler,26,10,8,,#5ad7d2,,,,
equipment,"Modular AHU, 50,000 CFM Solution XT",York,air-handler,36,13,10.5,,#5ad7d2,,,,
equipment,"Custom AHU, 100,000 CFM custom built-up",Haakon,air-handler,50,16,14,,#5ad7d2,,,,
equipment,"Direct gas-fired makeup air unit, 5,000 CFM DG/DGX",Greenheck,mau-doas,11,4.3,4.3,,#5ad7d2,,,,
equipment,"Blow-through space heater/MAU, 10,000 CFM S-Series",Cambridge Air Solutions,mau-doas,16,5,5.5,,#5ad7d2,,,,
equipment,"Packaged DOAS with energy wheel, 4,000 CFM RVE",Greenheck,mau-doas,15,6.8,5.9,,#5ad7d2,,,,
equipment,"Packaged DOAS, 10 ton RN with DOAS config",AAON,mau-doas,14,7.3,6,,#5ad7d2,,,,
equipment,"Packaged DOAS, 3,000 CFM VX Series",Valent,mau-doas,12,5.3,4.6,,#5ad7d2,,,,
equipment,"Condensing boiler, 400 MBH Knight XL KBX400",Lochinvar,boiler,3.6,1.5,4.2,,#5ad7d2,,,,
equipment,"Condensing boiler, 2,500 MBH Crest FBN2501",Lochinvar,boiler,7.3,3.7,6.6,,#5ad7d2,,,,
equipment,"Condensing boiler, 2,000 MBH Benchmark 2000",AERCO,boiler,4.5,2.3,6.5,,#5ad7d2,,,,
equipment,"Condensing boiler, 3,000 MBH CFC-E 3000",Cleaver-Brooks,boiler,6.5,3.8,6.9,,#5ad7d2,,,,
equipment,"Firetube boiler, 250 HP CB Series 250HP",Cleaver-Brooks,boiler,17,7,8.5,,#5ad7d2,,,,
equipment,"Condensing boiler, 2,000 MBH vertical Endura+ EDR2000",Fulton,boiler,4.5,3.5,6.5,,#5ad7d2,,,,
equipment,"Base-mounted end suction pump, 5 HP e-1510 small frame",Bell & Gossett,pump,3.5,1.8,2,,#5ad7d2,,,,
equipment,"Base-mounted end suction pump, 50 HP e-1510 large frame",Bell & Gossett,pump,6,2.5,3.2,,#5ad7d2,,,,
equipment,"Vertical inline pump, 10 HP 4300 Series",Armstrong,pump,1.8,1.8,3.5,,#5ad7d2,,,,
equipment,Vertical multistage pump CR Series,Grundfos,pump,1.1,0.9,4.5,,#5ad7d2,,,,
equipment,"Double-suction split-case pump, 100 HP VSX Series",Bell & Gossett,pump,6.5,3.3,3.3,,#5ad7d2,,,,
equipment,"Drainable wall louver, 4x4 module ELF375DX",Ruskin,louver,4,0.33,4,,#5ad7d2,,,,
equipment,"Stationary drainable louver, 6x4 ESD-435",Greenheck,louver,6,0.36,4,,#5ad7d2,,,,
equipment,"Acoustical louver, 4x4 module 12 in deep acoustical",generic,louver,4,1,4,,#5ad7d2,,,,
equipment,Centrifugal roof exhaust fan G-097,Greenheck,exhaust-fan,2.2,2.2,1.9,,#5ad7d2,,,,
equipment,Upblast kitchen exhaust fan CUBE-180,Greenheck,exhaust-fan,3,3,3.3,,#5ad7d2,,,,
equipment,Utility set fan USF-300,Greenheck,exhaust-fan,3.5,3,3.5,,#5ad7d2,,,,
equipment,Lab/high-plume exhaust fan Vektor-H,Greenheck,exhaust-fan,5,4,12,,#5ad7d2,,,,
equipment,Square inline fan SQ-130,Greenheck,exhaust-fan,2,2,2,,#5ad7d2,,,,
equipment,Sidewall propeller fan AER/SE1 series,Greenheck,exhaust-fan,3,1.5,3,,#5ad7d2,,,,
equipment,"HVLS ceiling fan, 24 ft Powerfoil X4",Big Ass Fans,exhaust-fan,24,24,3,,#5ad7d2,,,,
equipment,Flat-coil dry cooler Liebert DD/DDNT,Vertiv,dry-cooler,20,7.5,8,,#5ad7d2,,,,
equipment,V-coil dry cooler GFD/GFW V-bank,Guntner,dry-cooler,24,8,8.5,,#5ad7d2,,,,
equipment,Adiabatic cooler eco-Air Series,Evapco,dry-cooler,24,8,10,,#5ad7d2,,,,
equipment,Active rear-door heat exchanger ChilledDoor,Motivair,rear-door-heat-exchanger,2,0.75,6.9,,#5ad7d2,,,,
equipment,Passive rear-door coil Liebert DCD,Vertiv,rear-door-heat-exchanger,2,0.7,6.6,,#5ad7d2,,,,
equipment,Fan array cube module FANWALL TECHNOLOGY,Nortek Air Solutions,fan-wall,3,2.5,3,,#5ad7d2,,,,
equipment,"Data hall fan wall unit, 250 kW perimeter fan wall CRAH",generic,fan-wall,12,5,10,,#5ad7d2,,,,
equipment,"Data hall fan wall unit, 500 kW large fan wall air handler",generic,fan-wall,20,6,12,,#5ad7d2,,,,
equipment,"Single-duct VAV box, size 8 DESV",Titus,terminal-unit,3,1.8,1.1,,#5ad7d2,,,,
equipment,VAV box with hot water reheat SDV with HW coil,Price Industries,terminal-unit,4,1.9,1.1,,#5ad7d2,,,,
equipment,Parallel fan-powered box DTQP,Titus,terminal-unit,4,3.3,1.5,,#5ad7d2,,,,
equipment,"Horizontal water-source heat pump, 3 ton Tranquility TCH036",ClimateMaster,fan-coil-wshp,4.2,1.9,1.6,,#5ad7d2,,,,
equipment,Vertical stacked fan coil / heat pump riser unit hi-rise ver,IEC (International Environmental),fan-coil-wshp,1.9,1.9,8,,#5ad7d2,,,,
equipment,"Horizontal ceiling fan coil, 2-pipe horizontal concealed FCU",generic,fan-coil-wshp,3.8,2.1,1,,#5ad7d2,,,,
equipment,"Packaged energy recovery ventilator, 2,000 CFM EV/HE Premium",RenewAire,erv,6,3,3.3,,#5ad7d2,,,,
equipment,Air-cooled remote condenser Liebert MC,Vertiv,remote-condenser,7.6,3.9,3.6,,#5ad7d2,,,,
equipment,"Commercial condensing gas water heater, 100 gal / 199 MBH Cy",AO Smith,water-heaters,2.4,2.4,5.9,,#c0c8d0,,,,
equipment,"Commercial condensing gas water heater, 119 gal / 500 MBH Cy",AO Smith,water-heaters,2.9,2.9,6.4,,#c0c8d0,,,,
equipment,"Commercial gas water heater, 100 gal / 199 MBH Universal G10",Rheem,water-heaters,2.4,2.4,6,,#c0c8d0,,,,
